"","motif","gene","source"
"Bhlhe40.h0","Bhlhe40.h0","BHLHE40","PB0007.1_Bhlhb2_1/Jaspar"
"Bhlhe40.h1","Bhlhe40.h1","BHLHE40","PB0111.1_Bhlhb2_2/Jaspar"
"M02992","M02992","BHLHE40","Jolma2013"
"M04330","M04330","BHLHE40","Yin2017"
"M04331","M04331","BHLHE40","Yin2017"
"M08256","M08256","BHLHE40","ENCODE"
"M10579","M10579","BHLHE40","HOMER"
"MA0464.3","MA0464.3","BHLHE40","JASPAR"
"BHLHE40.h0","BHLHE40.h0","BHLHE40","BHLHE40/MA0464.2/Jaspar"
"BHLHE40.e0","BHLHE40.e0","BHLHE40","BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_r1:MDscan#2#Intergenic"
"BHLHE40.e1","BHLHE40.e1","BHLHE40","BHLHE40_HepG2_encode-Myers_seq_hsa_v041610.1_r1:AligCE#2#Intergenic"
"BHLHE40.e2","BHLHE40.e2","BHLHE40","BHLHE40_1"
"BHLHE40.e3","BHLHE40.e3","BHLHE40","BHLHE40_2"
"BHLHE40.e4","BHLHE40.e4","BHLHE40","BHLHE40_3"
"BHLHE40.e5","BHLHE40.e5","BHLHE40","BHLHE40_4"
"bHLHE41.h0","bHLHE41.h0","BHLHE41","bHLHE41(bHLH)/proB-Bhlhe41-ChIP-Seq(GSE93764)/Homer"
"M01821","M01821","BHLHE41","Zoo_01"
"M02986","M02986","BHLHE41","Jolma2013"
"M02987","M02987","BHLHE41","Jolma2013"
"M04310","M04310","BHLHE41","Yin2017"
"M04311","M04311","BHLHE41","Yin2017"
"MA0636.1","MA0636.1","BHLHE41","JASPAR"
"BHLHE41.h0","BHLHE41.h0","BHLHE41","BHLHE41/MA0636.1/Jaspar"
"BHLHE41.e0","BHLHE41.e0","BHLHE41","BHLHB3_jolma_full_M311"
"BHLHE41.e1","BHLHE41.e1","BHLHE41","BHLHE41_jolma_full_M314"
"Bmal1.h0","Bmal1.h0","BMAL1","Arntl/MA0603.1/Jaspar"
"M02991","M02991","BMAL1","Jolma2013"
"M04328","M04328","BMAL1","Yin2017"
"M04329","M04329","BMAL1","Yin2017"
"M01833","M01833","BMAL1","Zoo_01"
"M10601","M10601","BMAL1","HOMER"
"MA0603.2","MA0603.2","BMAL1","JASPAR"
"BMAL1.h0","BMAL1.h0","BMAL1","BMAL1(bHLH)/Liver-Bmal1-ChIP-Seq(GSE39860)/Homer"
"BMAL1.e0","BMAL1.e0","BMAL1","ARNTL_jolma_DBD_M306"
"MA1928.2","MA1928.2","BNC2","JASPAR"
"M02949","M02949","BORCS8-MEF2B","Jolma2010"
"M03544","M03544","BORCS8-MEF2B","Jolma2013"
"M03547","M03547","BORCS8-MEF2B","Jolma2013"
"M03548","M03548","BORCS8-MEF2B","Jolma2013"
"M05755","M05755","BORCS8-MEF2B","Yin2017"
"M05756","M05756","BORCS8-MEF2B","Yin2017"
"M05759","M05759","BORCS8-MEF2B","Yin2017"
"M05760","M05760","BORCS8-MEF2B","Yin2017"
"M05761","M05761","BORCS8-MEF2B","Yin2017"
"M05762","M05762","BORCS8-MEF2B","Yin2017"
"M05763","M05763","BORCS8-MEF2B","Yin2017"
"M05764","M05764","BORCS8-MEF2B","Yin2017"
"M08437","M08437","BORCS8-MEF2B","ENCODE"
"M08438","M08438","BORCS8-MEF2B","ENCODE"
"M09005","M09005","BORCS8-MEF2B","modENCODE"
"M09006","M09006","BORCS8-MEF2B","modENCODE"
"M09007","M09007","BORCS8-MEF2B","modENCODE"
"M10720","M10720","BORCS8-MEF2B","HOMER"
"M10722","M10722","BORCS8-MEF2B","HOMER"
"M12058","M12058","BORCS8-MEF2B","Transfac"
"M12059","M12059","BORCS8-MEF2B","Transfac"
"M12060","M12060","BORCS8-MEF2B","Transfac"
"M12061","M12061","BORCS8-MEF2B","Transfac"
"M12066","M12066","BORCS8-MEF2B","Transfac"
"M12558","M12558","BPTF","Transfac"
"BPTF.e0","BPTF.e0","BPTF","FAC1_transfac_M00456"
"BRCA1.e0","BRCA1.e0","BRCA1","BRCA1_GM12878_encode-Snyder_seq_hsa_IgG-mus-C-1863_r1:MEME#1#Intergenic"
"Bsx.h0","Bsx.h0","BSX","PH0009.1_Bsx/Jaspar"
"MA0876.2","MA0876.2","BSX","JASPAR"
"BSX.h0","BSX.h0","BSX","BSX/MA0876.1/Jaspar"
"BSX.e0","BSX.e0","BSX","Bsx_bulyk_cell08-3483.2"
"BSX.e1","BSX.e1","BSX","BSX_jolma_DBD_M466"
"bZIP--IRF.h0","bZIP--IRF.h0","BZIP--IRF","bZIP:IRF(bZIP,IRF)/Th17-BatF-ChIP-Seq(GSE39756)/Homer"
"M06129","M06129","CASZ1","CodeBook"
"CBX5.e0","CBX5.e0","CBX5","HP1-site-factor_transfac_M00725"
"CCDC6.e0","CCDC6.e0","CCDC6","Tst-1_transfac_M00133"
"CCNT2.e0","CCNT2.e0","CCNT2","CCNT2_K562_encode-Snyder_seq_hsa_r1:MEME#3#Intergenic"
"CCNT2.e1","CCNT2.e1","CCNT2","CCNT2_K562_encode-Snyder_seq_hsa_r1:MDscan#2#Intergenic"
"M12160","M12160","CDC5L","Transfac"
"M12172","M12172","CDC5L","Transfac"
"CDC5L.e0","CDC5L.e0","CDC5L","Cdc5_transfac_M00478"
"Cdx1.h0","Cdx1.h0","CDX1","PH0012.1_Cdx1/Jaspar"
"Cdx1.e0","Cdx1.e0","CDX1","Cdx_transfac_M00991"
"M03319","M03319","CDX1","Jolma2013"
"M05222","M05222","CDX1","Yin2017"
"M05223","M05223","CDX1","Yin2017"
"MA0878.3","MA0878.3","CDX1","JASPAR"
"CDX1.h0","CDX1.h0","CDX1","CDX1/MA0878.2/Jaspar"
"CDX1.e0","CDX1.e0","CDX1","Cdx1_bulyk_cell08-2245.1"
"CDX1.e1","CDX1.e1","CDX1","CDX1_jolma_DBD_M471"
"M10695","M10695","CDX2","HOMER"
"Cdx2.h0","Cdx2.h0","CDX2","Cdx2(Homeobox)/mES-Cdx2-ChIP-Seq(GSE14586)/Homer"
"Cdx2.h1","Cdx2.h1","CDX2","PH0013.1_Cdx2/Jaspar"
"M03400","M03400","CDX2","Jolma2013"
"M05454","M05454","CDX2","Yin2017"
"MA0465.3","MA0465.3","CDX2","JASPAR"
"CDX2.h0","CDX2.h0","CDX2","CDX2/MA0465.2/Jaspar"
"CDX2.e0","CDX2.e0","CDX2","Cdx-2_transfac_M00729"
"CDX2.e1","CDX2.e1","CDX2","Cdx2_bulyk_cell08-4272.1"
"CDX2.e2","CDX2.e2","CDX2","CDX2_jolma_DBD_M472"
"M05333","M05333","CDX4","Yin2017"
"M05334","M05334","CDX4","Yin2017"
"M05335","M05335","CDX4","Yin2017"
"MA1473.2","MA1473.2","CDX4","JASPAR"
"CDX4.h0","CDX4.h0","CDX4","CDX4(Homeobox)/ZebrafishEmbryos-Cdx4.Myc-ChIP-Seq(GSE48254)/Homer"
"CDX4.h1","CDX4.h1","CDX4","CDX4/MA1473.1/Jaspar"
"CEBP--AP1.h0","CEBP--AP1.h0","CEBP--AP1","CEBP:AP1(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer"
"CEBP--CEBP.h0","CEBP--CEBP.h0","CEBP--CEBP","CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer"
"M01075","M01075","CEBPA","Mann2013"
"M01076","M01076","CEBPA","Mann2013"
"M04249","M04249","CEBPA","RodriguezMartinez2017"
"M11146","M11146","CEBPA","Transfac"
"M11147","M11147","CEBPA","Transfac"
"M11151","M11151","CEBPA","Transfac"
"M11152","M11152","CEBPA","Transfac"
"MA0102.5","MA0102.5","CEBPA","JASPAR"
"CEBPA.h0","CEBPA.h0","CEBPA","CEBPA/MA0102.4/Jaspar"
"CEBPA.e0","CEBPA.e0","CEBPA","C/EBPalpha_transfac_M00116"
"CEBPA.e1","CEBPA.e1","CEBPA","CEBPA_jaspar_MA0102.2"
"M01080","M01080","CEBPB","Mann2013"
"M01081","M01081","CEBPB","Mann2013"
"M01900","M01900","CEBPB","Zoo_01"
"M02715","M02715","CEBPB","Zta"
"M02716","M02716","CEBPB","Zta"
"M02717","M02717","CEBPB","Zta"
"M02718","M02718","CEBPB","Zta"
"M03071","M03071","CEBPB","Jolma2013"
"M10621","M10621","CEBPB","HOMER"
"M03055","M03055","CEBPB","Jolma2013"
"M03056","M03056","CEBPB","Jolma2013"
"M04535","M04535","CEBPB","Yin2017"
"M04536","M04536","CEBPB","Yin2017"
"M06227","M06227","CEBPB","Isakova2017"
"M08288","M08288","CEBPB","ENCODE"
"M08289","M08289","CEBPB","ENCODE"
"M08290","M08290","CEBPB","ENCODE"
"M11116","M11116","CEBPB","Transfac"
"M11117","M11117","CEBPB","Transfac"
"MA0466.4","MA0466.4","CEBPB","JASPAR"
"CEBPB.h0","CEBPB.h0","CEBPB","CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer"
"CEBPB.h1","CEBPB.h1","CEBPB","CEBPB/MA0466.2/Jaspar"
"CEBPB.e0","CEBPB.e0","CEBPB","CEBPB_HepG2_encode-Snyder_seq_hsa_IgG-rab_r1:MDscan#2#Intergenic"
"CEBPB.e1","CEBPB.e1","CEBPB","CEBPB_K562_encode-Snyder_seq_hsa_IgG-rab_r1:Trawler#1#Intergenic"
"CEBPB.e2","CEBPB.e2","CEBPB","CEBPB_1"
"CEBPB.e3","CEBPB.e3","CEBPB","CEBPB_2"
"CEBPB.e4","CEBPB.e4","CEBPB","CEBP_1"
"CEBPB.e5","CEBPB.e5","CEBPB","CEBP_2"
"CEBPB.e6","CEBPB.e6","CEBPB","CEBP_3"
"CEBPB.e8","CEBPB.e8","CEBPB","CEBP_5"
"CEBPB.e9","CEBPB.e9","CEBPB","CEBPB_3"
"CEBPB.e10","CEBPB.e10","CEBPB","CEBPB_4"
"CEBPB.e11","CEBPB.e11","CEBPB","CEBPB_5"
"M01071","M01071","CEBPD","Mann2013"
"M01072","M01072","CEBPD","Mann2013"
"M03063","M03063","CEBPD","Jolma2013"
"M04584","M04584","CEBPD","Yin2017"
"M04585","M04585","CEBPD","Yin2017"
"MA0836.3","MA0836.3","CEBPD","JASPAR"
"CEBPD.h0","CEBPD.h0","CEBPD","CEBPD/MA0836.2/Jaspar"
"CEBPD.e0","CEBPD.e0","CEBPD","C/EBPdelta_transfac_M00621"
"CEBPD.e1","CEBPD.e1","CEBPD","CEBPD_jolma_DBD_M358"
"M01897","M01897","CEBPE","Zoo_01"
"M02933","M02933","CEBPE","Jolma2010"
"M03028","M03028","CEBPE","Jolma2013"
"M04213","M04213","CEBPE","RodriguezMartinez2017"
"M04431","M04431","CEBPE","Yin2017"
"M04432","M04432","CEBPE","Yin2017"
"MA0837.3","MA0837.3","CEBPE","JASPAR"
"CEBPE.h0","CEBPE.h0","CEBPE","CEBPE/MA0837.1/Jaspar"
"CEBPE.e0","CEBPE.e0","CEBPE","CEBPE_jolma_DBD_M359"
"M01078","M01078","CEBPG","Mann2013"
"M01079","M01079","CEBPG","Mann2013"
"M03044","M03044","CEBPG","Jolma2013"
"M03045","M03045","CEBPG","Jolma2013"
"M04232","M04232","CEBPG","RodriguezMartinez2017"
"M04507","M04507","CEBPG","Yin2017"
"M04508","M04508","CEBPG","Yin2017"
"M04509","M04509","CEBPG","Yin2017"
"M04510","M04510","CEBPG","Yin2017"
"MA0838.1","MA0838.1","CEBPG","JASPAR"
"MA1636.2","MA1636.2","CEBPG","JASPAR"
"CEBPG.h0","CEBPG.h0","CEBPG","CEBPG/MA0838.1/Jaspar"
"CEBPG.h1","CEBPG.h1","CEBPG","CEBPG(var.2)/MA1636.1/Jaspar"
"CEBPG.e0","CEBPG.e0","CEBPG","C/EBPgamma_transfac_M00622"
"CEBPG.e1","CEBPG.e1","CEBPG","CEBPG_jolma_DBD_M360"
"CEBPG.e2","CEBPG.e2","CEBPG","CEBPG_jolma_full_M361"
"M03143","M03143","CENPB","Jolma2013"
"CENPB.h0","CENPB.h0","CENPB","CENPB/MA0637.1/Jaspar"
"CENPB.e0","CENPB.e0","CENPB","CENPB_jolma_full_M58"
"M06204","M06204","CGGBP1","CodeBook"
"CHD2.e0","CHD2.e0","CHD2","CHD2_K562_encode-Snyder_seq_hsa_IgG-rab-N-1250_r1:MDscan#3#Intergenic"
"CHD2.e1","CHD2.e1","CHD2","CHD2_K562_encode-Snyder_seq_hsa_IgG-rab-N-1250_r1:Trawler#1#Intergenic"
"CHD2.e2","CHD2.e2","CHD2","CHD2_GM12878_encode-Snyder_seq_hsa_IgG-mus-N-1250_r1:AligCE#2#Intergenic"
"M00125","M00125","CIC","Badis08"
"M00250","M00250","CIC","Badis09"
"M00251","M00251","CIC","Badis09"
"M04179","M04179","CIC","Nitta2015"
"M05967","M05967","CIC","Yin2017"
"M05968","M05968","CIC","Yin2017"
"M06848","M06848","CIC","FlyFactorSurvey"
"M09730","M09730","CIC","DeBoer11"
"M10596","M10596","CLOCK","HOMER"
"M02993","M02993","CLOCK","Jolma2013"
"M04333","M04333","CLOCK","Yin2017"
"M04334","M04334","CLOCK","Yin2017"
"MA0819.3","MA0819.3","CLOCK","JASPAR"
"CLOCK.h0","CLOCK.h0","CLOCK","CLOCK(bHLH)/Liver-Clock-ChIP-Seq(GSE39860)/Homer"
"CLOCK.h1","CLOCK.h1","CLOCK","CLOCK/MA0819.1/Jaspar"
"CLOCK.e0","CLOCK.e0","CLOCK","CLOCK_jolma_DBD_M316"
"CLOCK--ARNTL.e0","CLOCK--ARNTL.e0","CLOCK--ARNTL","CLOCK:BMAL_transfac_M01116"
"M03785","M03785","CPEB1","Jolma2013"
"CPEB1.e0","CPEB1.e0","CPEB1","CPEB1_jolma_full_M748"
"Cphx1.h0","Cphx1.h0","CPHX1","PH0014.1_Cphx/Jaspar"
"Cphx1.e0","Cphx1.e0","CPHX1","Cphx_bulyk_cell08-3484.1"
"M08212","M08212","CPXCR1","CodeBook"
"M01073","M01073","CREB1","Mann2013"
"M01074","M01074","CREB1","Mann2013"
"M04226","M04226","CREB1","RodriguezMartinez2017"
"M04227","M04227","CREB1","RodriguezMartinez2017"
"M04462","M04462","CREB1","Yin2017"
"M04463","M04463","CREB1","Yin2017"
"M04464","M04464","CREB1","Yin2017"
"M04465","M04465","CREB1","Yin2017"
"M04466","M04466","CREB1","Yin2017"
"M04467","M04467","CREB1","Yin2017"
"M04468","M04468","CREB1","Yin2017"
"M04469","M04469","CREB1","Yin2017"
"M11071","M11071","CREB1","Transfac"
"M11072","M11072","CREB1","Transfac"
"M11075","M11075","CREB1","Transfac"
"M11076","M11076","CREB1","Transfac"
"M11077","M11077","CREB1","Transfac"
"M11078","M11078","CREB1","Transfac"
"MA0018.5","MA0018.5","CREB1","JASPAR"
"CREB1.h0","CREB1.h0","CREB1","CREB1/MA0018.4/Jaspar"
"M03033","M03033","CREB3","Jolma2013"
"M03034","M03034","CREB3","Jolma2013"
"M04218","M04218","CREB3","RodriguezMartinez2017"
"M04219","M04219","CREB3","RodriguezMartinez2017"
"M04443","M04443","CREB3","Yin2017"
"M04444","M04444","CREB3","Yin2017"
"M04445","M04445","CREB3","Yin2017"
"M04446","M04446","CREB3","Yin2017"
"M04447","M04447","CREB3","Yin2017"
"M04448","M04448","CREB3","Yin2017"
"MA0638.2","MA0638.2","CREB3","JASPAR"
"CREB3.h0","CREB3.h0","CREB3","CREB3/MA0638.1/Jaspar"
"CREB3.e0","CREB3.e0","CREB3","CREB3_jolma_full_M365"
"CREB3.e1","CREB3.e1","CREB3","CREB3_jolma_full_M366"
"M03046","M03046","CREB3L1","Jolma2013"
"M03047","M03047","CREB3L1","Jolma2013"
"M03048","M03048","CREB3L1","Jolma2013"
"M03049","M03049","CREB3L1","Jolma2013"
"M03050","M03050","CREB3L1","Jolma2013"
"M03051","M03051","CREB3L1","Jolma2013"
"M04233","M04233","CREB3L1","RodriguezMartinez2017"
"M04234","M04234","CREB3L1","RodriguezMartinez2017"
"M04235","M04235","CREB3L1","RodriguezMartinez2017"
"M04513","M04513","CREB3L1","Yin2017"
"M04514","M04514","CREB3L1","Yin2017"
"M04515","M04515","CREB3L1","Yin2017"
"M04516","M04516","CREB3L1","Yin2017"
"M04517","M04517","CREB3L1","Yin2017"
"M04518","M04518","CREB3L1","Yin2017"
"M04519","M04519","CREB3L1","Yin2017"
"M04520","M04520","CREB3L1","Yin2017"
"M04521","M04521","CREB3L1","Yin2017"
"M04522","M04522","CREB3L1","Yin2017"
"M04523","M04523","CREB3L1","Yin2017"
"M04524","M04524","CREB3L1","Yin2017"
"MA0839.2","MA0839.2","CREB3L1","JASPAR"
"CREB3L1.h0","CREB3L1.h0","CREB3L1","CREB3L1/MA0839.1/Jaspar"
"CREB3L1.e0","CREB3L1.e0","CREB3L1","CREB3L1_jolma_DBD_M362"
"CREB3L1.e1","CREB3L1.e1","CREB3L1","CREB3L1_jolma_DBD_M363"
"CREB3L1.e2","CREB3L1.e2","CREB3L1","CREB3L1_jolma_full_M364"
"CREB3L1.e3","CREB3L1.e3","CREB3L1","CREB3L1_jolma_full_M817"
"MA0608.1","MA0608.1","CREB3L2","JASPAR"
"Creb3l2.h0","Creb3l2.h0","CREB3L2","Creb3l2/MA0608.1/Jaspar"
"M01225","M01225","CREB3L2","TF_Evolution"
"M01894","M01894","CREB3L2","Zoo_01"
"M03067","M03067","CREB3L2","Jolma2013"
"M03068","M03068","CREB3L2","Jolma2013"
"M03843","M03843","CREB3L2","Nitta2015"
"M03844","M03844","CREB3L2","Nitta2015"
"M03845","M03845","CREB3L2","Nitta2015"
"M06416","M06416","CREB3L2","FlyFactorSurvey"
"CREB3L2.e0","CREB3L2.e0","CREB3L2","Creb3l2_jolma_DBD_M368"
"CREB3L2.e1","CREB3L2.e1","CREB3L2","Creb3l2_jolma_DBD_M369"
"M04497","M04497","CREB3L4","Yin2017"
"M04498","M04498","CREB3L4","Yin2017"
"M04499","M04499","CREB3L4","Yin2017"
"M04500","M04500","CREB3L4","Yin2017"
"M04501","M04501","CREB3L4","Yin2017"
"M04502","M04502","CREB3L4","Yin2017"
"MA1474.2","MA1474.2","CREB3L4","JASPAR"
"MA1475.2","MA1475.2","CREB3L4","JASPAR"
"CREB3L4.h0","CREB3L4.h0","CREB3L4","CREB3L4/MA1474.1/Jaspar"
"CREB3L4.h1","CREB3L4.h1","CREB3L4","CREB3L4(var.2)/MA1475.1/Jaspar"
"M03070","M03070","CREB5","Jolma2013"
"MA0840.2","MA0840.2","CREB5","JASPAR"
"Creb5.h0","Creb5.h0","CREB5","Creb5/MA0840.1/Jaspar"
"M04503","M04503","CREB5","Yin2017"
"M04504","M04504","CREB5","Yin2017"
"M04505","M04505","CREB5","Yin2017"
"M04506","M04506","CREB5","Yin2017"
"CREB5.h0","CREB5.h0","CREB5","CREB5(bZIP)/LNCaP-CREB5.V5-ChIP-Seq(GSE137775)/Homer"
"CREB5.e0","CREB5.e0","CREB5","Creb5_jolma_DBD_M370"
"M03853","M03853","CREBL2","Nitta2015"
"M01895","M01895","CREBZF","Zoo_01"
"M01903","M01903","CREM","Zoo_01"
"M04433","M04433","CREM","Yin2017"
"M04434","M04434","CREM","Yin2017"
"MA0609.3","MA0609.3","CREM","JASPAR"
"CREM.h0","CREM.h0","CREM","CREM/MA0609.2/Jaspar"
"MA0467.3","MA0467.3","CRX","JASPAR"
"Crx.h0","Crx.h0","CRX","Crx/MA0467.1/Jaspar"
"Crx.h1","Crx.h1","CRX","PH0015.1_Crx/Jaspar"
"M00328","M00328","CRX","Barrera2016"
"M00329","M00329","CRX","Barrera2016"
"M00330","M00330","CRX","Barrera2016"
"M05153","M05153","CRX","Yin2017"
"M05154","M05154","CRX","Yin2017"
"CRX.h0","CRX.h0","CRX","CRX(Homeobox)/Retina-Crx-ChIP-Seq(GSE20012)/Homer"
"CRX.e0","CRX.e0","CRX","Crx_transfac_M00623"
"CRX.e1","CRX.e1","CRX","Crx_bulyk_cell08-3485.1"
"M06293","M06293","CSRNP1","Gralak2025"
"M08605","M08605","CTCF","hmCHIP"
"M03082","M03082","CTCF","Jolma2013"
"M06045","M06045","CTCF","CodeBook"
"M06233","M06233","CTCF","Isakova2017"
"M07971","M07971","CTCF","Rhee2011"
"M07972","M07972","CTCF","Rhee2011"
"M07973","M07973","CTCF","Rhee2011"
"M08320","M08320","CTCF","ENCODE"
"M08321","M08321","CTCF","ENCODE"
"M08322","M08322","CTCF","ENCODE"
"M08323","M08323","CTCF","ENCODE"
"M08324","M08324","CTCF","ENCODE"
"M08325","M08325","CTCF","ENCODE"
"M08326","M08326","CTCF","ENCODE"
"M08327","M08327","CTCF","ENCODE"
"M08328","M08328","CTCF","ENCODE"
"M08329","M08329","CTCF","ENCODE"
"M08330","M08330","CTCF","ENCODE"
"M08331","M08331","CTCF","ENCODE"
"M08332","M08332","CTCF","ENCODE"
"M08333","M08333","CTCF","ENCODE"
"M08334","M08334","CTCF","ENCODE"
"M08335","M08335","CTCF","ENCODE"
"M08336","M08336","CTCF","ENCODE"
"M08337","M08337","CTCF","ENCODE"
"M08338","M08338","CTCF","ENCODE"
"M08339","M08339","CTCF","ENCODE"
"M08340","M08340","CTCF","ENCODE"
"M08341","M08341","CTCF","ENCODE"
"M08342","M08342","CTCF","ENCODE"
"M08343","M08343","CTCF","ENCODE"
"M08344","M08344","CTCF","ENCODE"
"M08345","M08345","CTCF","ENCODE"
"M08346","M08346","CTCF","ENCODE"
"M08347","M08347","CTCF","ENCODE"
"M08348","M08348","CTCF","ENCODE"
"M08349","M08349","CTCF","ENCODE"
"M08350","M08350","CTCF","ENCODE"
"M08351","M08351","CTCF","ENCODE"
"M08352","M08352","CTCF","ENCODE"
"M08353","M08353","CTCF","ENCODE"
"M08354","M08354","CTCF","ENCODE"
"M08355","M08355","CTCF","ENCODE"
"M08356","M08356","CTCF","ENCODE"
"M08357","M08357","CTCF","ENCODE"
"M08358","M08358","CTCF","ENCODE"
"M08359","M08359","CTCF","ENCODE"
"M08360","M08360","CTCF","ENCODE"
"M08361","M08361","CTCF","ENCODE"
"M08362","M08362","CTCF","ENCODE"
"M08363","M08363","CTCF","ENCODE"
"M08364","M08364","CTCF","ENCODE"
"M08365","M08365","CTCF","ENCODE"
"M08366","M08366","CTCF","ENCODE"
"M08367","M08367","CTCF","ENCODE"
"M08368","M08368","CTCF","ENCODE"
"M08369","M08369","CTCF","ENCODE"
"M08370","M08370","CTCF","ENCODE"
"M08371","M08371","CTCF","ENCODE"
"M08372","M08372","CTCF","ENCODE"
"M08373","M08373","CTCF","ENCODE"
"M08374","M08374","CTCF","ENCODE"
"M08375","M08375","CTCF","ENCODE"
"M08376","M08376","CTCF","ENCODE"
"M08377","M08377","CTCF","ENCODE"
"M08378","M08378","CTCF","ENCODE"
"M08379","M08379","CTCF","ENCODE"
"M08380","M08380","CTCF","ENCODE"
"M08381","M08381","CTCF","ENCODE"
"M08382","M08382","CTCF","ENCODE"
"M08383","M08383","CTCF","ENCODE"
"M09031","M09031","CTCF","Najafabadi2015b"
"M09072","M09072","CTCF","Razavi12025"
"M09073","M09073","CTCF","Razavi12025"
"M09074","M09074","CTCF","Razavi12025"
"M09075","M09075","CTCF","Razavi12025"
"M09076","M09076","CTCF","Razavi12025"
"M09077","M09077","CTCF","Razavi12025"
"M09078","M09078","CTCF","Razavi12025"
"M09424","M09424","CTCF","Schmitges2016"
"M10626","M10626","CTCF","HOMER"
"M10627","M10627","CTCF","HOMER"
"MA0139.2","MA0139.2","CTCF","JASPAR"
"MA1929.2","MA1929.2","CTCF","JASPAR"
"MA1930.2","MA1930.2","CTCF","JASPAR"
"CTCF.h0","CTCF.h0","CTCF","CTCF(Zf)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer"
"CTCF.h1","CTCF.h1","CTCF","CTCF/MA0139.1/Jaspar"
"CTCF.e0","CTCF.e0","CTCF","CTCF_HUVEC_encode-Crawford_seq_hsa_r1:MEME#3#Intergenic"
"CTCF.e1","CTCF.e1","CTCF","CTCF_A549_encode-Myers_seq_hsa_DEX-100nM_r1:Trawler#1#Intergenic"
"CTCF.e2","CTCF.e2","CTCF","CTCF_K562_encode-Crawford_seq_hsa_r1:Trawler#3#Intergenic"
"CTCF.e3","CTCF.e3","CTCF","CTCF_HUVEC_encode-Crawford_seq_hsa_r1:AligCE#3#Intergenic"
"CTCF.e4","CTCF.e4","CTCF","CTCF_A549_encode-Myers_seq_hsa_EtOH-0.02pct_r1:AligCE#1#Intergenic"
"CTCF.e5","CTCF.e5","CTCF","CTCF_AoAF_encode-Stam_seq_hsa_r1:Trawler#2#Intergenic"
"CTCF.e6","CTCF.e6","CTCF","CTCF_GM12875_encode-Stam_seq_hsa_r1:Weeder#3#Intergenic"
"CTCF.e7","CTCF.e7","CTCF","CTCF_HMEC_encode-Bernstein_seq_hsa_r1:AligCE#3#Intergenic"
"CTCF.e8","CTCF.e8","CTCF","CTCF_HMF_encode-Stam_seq_hsa_r1:AligCE#2#Intergenic"
"CTCF.e9","CTCF.e9","CTCF","CTCF_HepG2_encode-Myers_seq_hsa_v041610.1_r1:Trawler#1#Intergenic"
"CTCF.e10","CTCF.e10","CTCF","CTCF_1"
"CTCF.e11","CTCF.e11","CTCF","CTCF_2"
"M08388","M08388","CTCFL","ENCODE"
"M10630","M10630","CTCFL","HOMER"
"MA1102.3","MA1102.3","CTCFL","JASPAR"
"CTCFL.h0","CTCFL.h0","CTCFL","BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer"
"CTCFL.h1","CTCFL.h1","CTCFL","CTCFL/MA1102.2/Jaspar"
"CTCFL.e0","CTCFL.e0","CTCFL","CTCFL_K562_encode-Myers_seq_hsa_v041610.1-SC-98982_r1:MDscan#2#Intergenic"
"Cux1.h0","Cux1.h0","CUX1","PH0016.1_Cux1_1/Jaspar"
"Cux1.h1","Cux1.h1","CUX1","PH0017.1_Cux1_2/Jaspar"
"M03150","M03150","CUX1","Jolma2013"
"M03151","M03151","CUX1","Jolma2013"
"M03152","M03152","CUX1","Jolma2013"
"M04883","M04883","CUX1","Yin2017"
"M04884","M04884","CUX1","Yin2017"
"M11545","M11545","CUX1","Transfac"
"M11546","M11546","CUX1","Transfac"
"M11547","M11547","CUX1","Transfac"
"M11548","M11548","CUX1","Transfac"
"M11549","M11549","CUX1","Transfac"
"MA0754.3","MA0754.3","CUX1","JASPAR"
"CUX1.h0","CUX1.h0","CUX1","CUX1(Homeobox)/K562-CUX1-ChIP-Seq(GSE92882)/Homer"
"CUX1.h1","CUX1.h1","CUX1","CUX1/MA0754.1/Jaspar"
"CUX1.e0","CUX1.e0","CUX1","CDP_transfac_M00095"
"CUX1.e1","CUX1.e1","CUX1","CDP_transfac_M00102"
"CUX1.e2","CUX1.e2","CUX1","CDP-CR1_transfac_M00104"
"CUX1.e3","CUX1.e3","CUX1","CDP-CR3_transfac_M00105"
"CUX1.e4","CUX1.e4","CUX1","CDP-CR3+HD_transfac_M00106"
"CUX1.e5","CUX1.e5","CUX1","Cutl1_bulyk_cell08-3494.1"
"CUX1.e6","CUX1.e6","CUX1","Cutl1_bulyk_cell08-3494.2"
"CUX1.e7","CUX1.e7","CUX1","CUX1_jolma_DBD_M64"
"CUX1.e8","CUX1.e8","CUX1","CUX1_jolma_DBD_M65"
"CUX1.e9","CUX1.e9","CUX1","CUX1_jolma_DBD_M66"
"Cux2.h0","Cux2.h0","CUX2","Cux2(Homeobox)/Liver-Cux2-ChIP-Seq(GSE35985)/Homer"
"M03144","M03144","CUX2","Jolma2013"
"M03145","M03145","CUX2","Jolma2013"
"M04869","M04869","CUX2","Yin2017"
"M04870","M04870","CUX2","Yin2017"
